"","market_id","created_at","actual_delivery_time","store_id","store_primary_category","order_protocol","total_items","subtotal","num_distinct_items","min_item_price","max_item_price","total_onshift_dashers","total_busy_dashers","total_outstanding_orders","estimated_order_place_duration","estimated_store_to_consumer_driving_duration"
"55",5,2015-02-07 03:00:47,2015-02-07 03:50:31,3028,"thai",5,5,4730,5,895,995,29,23,36,251,496
"56",4,2015-02-05 19:58:16,2015-02-05 20:34:39,6685,"japanese",3,3,2900,3,600,1275,66,66,89,251,311
"57",2,2015-01-30 01:36:22,2015-01-30 02:26:04,1296,"hawaiian",5,8,5100,5,150,1045,98,86,100,251,559
"58",1,2015-02-06 02:16:16,2015-02-06 02:54:01,1307,"mediterranean",3,2,1769,2,620,850,14,14,21,251,629
"59",4,2015-02-08 02:26:04,2015-02-08 03:12:01,2385,"chinese",3,13,8250,9,150,1300,70,59,93,251,377
"60",3,2015-02-05 19:48:59,2015-02-05 20:35:16,4480,"sandwich",1,7,4935,7,375,895,22,23,23,446,423
"61",2,2015-02-01 23:40:13,2015-02-02 00:16:47,5687,"greek",5,2,1997,2,799,1099,30,27,29,251,733
"62",2,2015-02-11 04:01:41,2015-02-11 04:23:01,4964,"barbecue",3,1,970,1,895,895,90,74,97,251,279
"63",4,2015-01-30 03:02:32,2015-01-30 03:52:54,205,"burger",4,6,2971,2,271,832,75,77,112,251,445
"64",1,2015-01-27 20:02:37,2015-01-27 20:43:20,4,"fast",4,5,3374,4,600,669,27,27,31,251,496
"65",2,2015-02-16 02:19:40,2015-02-16 03:00:42,2687,"chinese",3,2,1790,2,895,895,124,118,192,251,645
"66",1,2015-01-31 02:03:20,2015-01-31 03:04:27,6754,"japanese",1,4,5120,2,1080,1480,22,22,23,446,264
"67",3,2015-02-13 01:54:34,2015-02-13 02:57:11,1709,"mediterranean",1,2,2400,2,600,1600,4,4,7,446,643
"68",4,2015-02-05 05:12:16,2015-02-05 06:07:43,1244,"thai",5,1,699,1,699,699,34,35,67,251,512
"69",4,2015-02-13 02:59:36,2015-02-13 04:08:34,6151,"pizza",3,4,5761,4,1379,1504,119,117,208,251,888
"70",1,2015-01-25 17:02:52,2015-01-25 17:25:38,2518,"mexican",1,1,685,1,685,685,8,8,9,446,283
"71",4,2015-01-25 23:33:17,2015-01-26 00:38:43,6503,"dessert",5,1,1345,1,1195,1195,60,72,42,251,685
"72",3,2015-01-22 05:52:18,2015-01-22 06:41:36,2727,"dessert",1,8,10530,7,695,1850,16,10,9,446,545
"73",4,2015-02-16 21:03:44,2015-02-16 21:29:11,1409,"vietnamese",5,7,3123,4,276,1009,57,51,61,251,448
"74",4,2015-02-05 01:18:55,2015-02-05 02:16:47,1392,"japanese",1,7,6115,7,274,1256,10,14,15,446,385
"75",4,2015-02-11 19:51:04,2015-02-11 20:56:57,3937,"salad",5,2,1670,2,440,1010,76,77,184,251,435
"76",4,2015-01-30 05:21:49,2015-01-30 06:03:38,1270,"bubble-tea",5,1,475,1,375,375,36,25,29,251,450
"77",5,2015-01-21 21:11:22,2015-01-21 21:29:28,2705,"dessert",1,3,1180,3,80,695,29,9,9,446,193
"78",3,2015-01-21 20:00:31,2015-01-21 20:46:51,3181,"japanese",3,1,1195,1,1195,1195,15,16,24,251,581
"79",2,2015-02-09 04:15:18,2015-02-09 04:43:07,4943,"american",3,1,1119,1,1119,1119,70,58,69,251,202
"80",2,2015-02-08 03:08:24,2015-02-08 03:56:15,809,"salad",3,3,2192,3,529,889,128,124,205,251,443
"81",1,2015-02-02 19:42:50,2015-02-02 20:41:23,5168,"italian",5,3,1037,2,229,479,53,51,69,251,586
"82",4,2015-02-01 02:53:08,2015-02-01 03:54:04,1563,"fast",4,4,2475,2,488,803,95,86,156,251,980
"83",2,2015-01-30 22:31:29,2015-01-30 22:51:07,3824,"thai",3,1,995,1,995,995,53,28,31,251,433
"84",1,2015-01-31 02:17:35,2015-01-31 02:55:11,3310,"thai",5,4,3025,4,175,1050,57,60,69,251,229
"85",1,2015-02-14 21:11:58,2015-02-14 22:34:37,1855,"other",3,2,2198,2,795,825,3,3,4,251,827
"86",3,2015-02-03 03:25:04,2015-02-03 04:08:07,4655,"thai",5,3,2785,3,695,995,9,9,12,251,233
"87",3,2015-02-04 02:48:36,2015-02-04 03:33:16,6487,"american",5,2,1085,2,215,795,4,4,5,251,701
"88",2,2015-02-14 04:43:30,2015-02-14 05:39:59,1311,"american",3,2,2039,2,926,1084,108,109,167,251,957
"89",1,2015-02-18 03:09:41,2015-02-18 03:52:32,621,"burger",1,6,2548,3,200,659,56,56,75,446,276
"90",2,2015-02-07 16:50:23,2015-02-07 17:20:38,314,"mexican",5,4,2928,3,608,848,15,22,13,251,380
"91",2,2015-01-24 17:42:04,2015-01-24 18:29:22,6065,"dessert",2,2,898,1,449,449,9,32,14,251,274
"92",2,2015-01-27 19:58:58,2015-01-27 20:41:28,5107,"sandwich",3,3,1232,3,249,479,39,36,45,251,359
"93",5,2015-01-26 02:53:48,2015-01-26 03:46:00,702,"burger",4,3,1997,2,539,729,20,12,8,251,598
"94",4,2015-01-24 21:16:35,2015-01-24 22:06:50,1270,"bubble-tea",5,4,1730,3,420,420,52,76,69,251,472
"95",3,2015-02-01 21:16:50,2015-02-01 22:23:53,6847,"barbecue",1,4,2290,3,100,1295,17,15,17,446,848
"96",4,2015-02-16 01:04:17,2015-02-16 01:49:17,6717,"dessert",5,1,1150,1,1150,1150,41,40,57,251,185
"97",1,2015-02-08 01:40:19,2015-02-08 02:14:55,6019,"other",2,1,1675,1,700,700,40,40,42,251,1008
"98",2,2015-02-08 20:33:17,2015-02-08 21:20:33,5133,"cafe",2,1,1400,1,1400,1400,25,25,36,251,459
"99",2,2015-02-07 02:06:42,2015-02-07 03:29:54,3625,"chinese",4,4,2442,4,307,966,149,105,185,446,774
"100",4,2015-02-13 18:18:55,2015-02-13 19:11:06,5394,"mexican",3,5,3984,5,295,1095,13,11,15,251,366
"101",2,2015-01-22 02:28:14,2015-01-22 03:01:45,4631,"mexican",3,1,675,1,675,675,97,76,114,251,349
"102",1,2015-02-16 21:47:38,2015-02-16 22:26:57,3471,"pizza",3,2,2278,2,0,1099,14,13,17,251,421
"103",3,2015-02-06 16:15:29,2015-02-06 17:09:33,1306,NA,4,4,1042,3,209,319,4,2,1,251,731
"104",2,2015-01-27 02:05:52,2015-01-27 02:28:22,1686,"mexican",5,2,1448,2,649,799,80,102,103,251,171
"105",3,2015-02-03 01:33:16,2015-02-03 02:29:52,3937,"mexican",1,4,3517,4,476,1082,62,64,95,251,623
"106",1,2015-01-26 18:15:01,2015-01-26 19:19:05,6270,"sandwich",3,2,3200,1,1600,1600,6,6,5,251,329
"107",2,2015-02-03 04:07:55,2015-02-03 05:32:02,3974,"thai",5,2,1195,2,200,995,33,31,61,251,834
"108",3,2015-02-11 21:57:14,2015-02-11 22:33:31,934,"japanese",3,2,2345,2,1150,1195,12,14,14,251,355
"109",4,2015-02-01 21:27:26,2015-02-01 22:02:21,4880,"american",5,2,1190,2,195,995,47,38,47,251,759
"110",1,2015-02-10 00:49:40,2015-02-10 01:43:40,5452,"pizza",5,2,2500,2,1050,1050,4,3,3,251,566
"111",1,2015-02-03 18:42:57,2015-02-03 19:37:20,1714,"hawaiian",3,1,595,1,595,595,3,3,2,251,707
"112",3,2015-02-10 02:33:58,2015-02-10 03:08:13,4890,"pizza",5,3,3150,3,950,1050,41,42,46,251,642
"113",4,2015-01-31 23:46:39,2015-02-01 00:10:32,1293,"american",4,3,1497,3,499,499,18,18,19,251,663
"114",2,2015-01-24 19:07:06,2015-01-24 19:30:11,4756,"other",3,1,1374,1,907,868,24,30,26,251,526
"115",2,2015-02-18 02:00:22,2015-02-18 02:28:13,5687,"greek",5,1,1497,1,1099,1099,66,63,88,251,259
"116",2,2015-02-07 21:22:26,2015-02-07 21:44:59,1686,"mexican",5,7,3045,4,225,649,69,57,64,251,455
"117",2,2015-01-22 01:28:04,2015-01-22 02:18:36,1881,"steak",1,1,3200,1,3200,3200,70,64,80,446,428
"118",2,2015-02-05 03:33:58,2015-02-05 04:46:54,1224,NA,3,4,2505,4,80,895,72,69,113,251,761
"119",1,2015-01-26 20:08:25,2015-01-26 21:11:14,5313,"salad",5,1,1060,1,650,650,20,20,29,251,594
"120",5,2015-01-26 03:06:54,2015-01-26 03:42:05,1340,"italian",5,1,799,1,799,799,39,49,31,251,486
"121",4,2015-01-26 02:28:45,2015-01-26 02:59:54,5246,"pasta",3,1,995,1,995,995,63,110,54,251,427
"122",4,2015-02-04 21:19:09,2015-02-04 21:40:58,6917,"vietnamese",5,1,875,1,875,875,42,30,37,251,345
"123",1,2015-02-07 04:32:48,2015-02-07 05:20:06,5104,"chinese",5,7,4750,6,250,1250,0,0,0,251,496
"124",1,2015-02-04 00:51:30,2015-02-04 01:19:41,4324,"american",5,3,3000,3,700,1400,6,6,10,251,569
"125",2,2015-02-15 01:36:38,2015-02-15 02:39:28,6662,"italian",3,3,4085,3,495,1795,40,39,56,251,831
"126",1,2015-02-08 01:56:48,2015-02-08 02:50:02,4888,"mediterranean",1,2,2200,2,750,1450,45,47,51,446,898
"127",2,2015-02-02 17:47:42,2015-02-02 18:13:25,6865,"mexican",5,2,1598,1,799,799,12,13,22,251,374
"128",4,2015-01-23 01:48:25,2015-01-23 02:22:52,1332,"hawaiian",3,2,1480,2,585,695,99,75,106,251,658
"129",3,2015-02-10 19:04:19,2015-02-10 19:49:53,1930,"sandwich",5,2,1440,2,450,750,13,12,15,251,613
"130",2,2015-02-07 01:42:26,2015-02-07 02:36:36,6826,"pizza",3,2,3698,2,599,2199,129,54,112,251,682
"131",1,2015-01-30 04:20:34,2015-01-30 05:08:59,3175,"burger",1,1,650,1,650,650,43,47,55,446,534
"132",1,2015-02-05 19:00:59,2015-02-05 19:44:18,6744,"american",3,3,2275,3,375,1250,8,6,5,251,491
"133",2,2015-02-12 19:18:34,2015-02-12 20:00:15,3482,"sandwich",3,4,3116,4,389,479,37,38,51,251,208
"134",3,2015-01-28 22:14:34,2015-01-28 22:30:59,570,"burger",2,2,719,2,324,395,9,9,12,251,126
"135",2,2015-02-15 01:51:45,2015-02-15 02:41:29,920,"seafood",5,4,5550,4,1000,1650,84,67,112,251,655
"136",1,2015-02-08 03:40:52,2015-02-08 05:05:35,243,"thai",3,3,3070,3,100,1795,54,55,86,251,725
"137",2,2015-02-11 01:31:02,2015-02-11 02:20:36,874,"italian",3,3,3785,2,795,1495,41,39,47,251,982
"138",3,2015-02-02 17:38:24,2015-02-02 18:43:50,3992,"korean",4,1,1698,1,1698,1698,3,3,6,251,603
"139",4,2015-02-14 03:47:42,2015-02-14 04:31:01,386,"other",3,4,3325,3,550,975,99,93,189,251,312
"140",1,2015-02-11 05:11:35,2015-02-11 05:31:36,1700,"fast",4,2,715,2,165,511,9,8,9,251,459
"141",1,2015-01-24 01:16:22,2015-01-24 01:56:31,1469,"pizza",5,10,10700,8,850,1150,34,22,21,251,249
"142",2,2015-02-07 21:07:25,2015-02-07 21:41:52,2272,"mexican",5,2,1800,1,900,900,63,58,65,251,798
"143",4,2015-02-15 02:39:02,2015-02-15 03:38:05,4619,"pizza",3,4,3796,1,949,949,99,92,169,251,283
"144",1,2015-01-27 02:09:54,2015-01-27 03:02:27,6323,"pizza",4,2,2040,2,945,995,90,120,154,251,648
"145",4,2015-02-03 02:46:15,2015-02-03 04:17:35,4864,"indian",2,7,4293,6,149,1299,77,78,138,251,522
"146",2,2015-02-15 01:51:48,2015-02-15 02:37:50,3343,"fast",4,1,500,1,500,500,84,67,112,251,916
"147",2,2015-02-07 01:38:44,2015-02-07 02:21:59,1595,"sandwich",2,7,3282,5,69,899,138,84,131,251,837
"148",4,2015-02-11 02:16:18,2015-02-11 02:56:11,4376,"japanese",1,4,3480,3,595,1395,61,52,72,446,498
"149",2,2015-02-03 23:43:25,2015-02-04 00:23:18,1311,"american",3,1,1179,1,1179,1179,23,23,34,251,951
"150",3,2015-01-29 22:26:48,2015-01-29 22:56:05,6020,"thai",1,2,1220,2,250,795,6,3,3,446,540
"151",4,2015-02-15 19:35:25,2015-02-15 20:13:16,6717,"dessert",5,5,3235,5,295,1095,27,22,25,251,250
"152",2,2015-02-05 02:07:43,2015-02-05 02:24:08,5890,"greek",3,1,1670,1,1550,1550,85,74,109,251,751
"153",3,2015-02-02 23:59:04,2015-02-03 01:58:33,3708,"asian",3,1,690,1,690,690,0,0,0,251,574
"154",3,2015-01-25 01:58:23,2015-01-25 02:58:13,6127,"american",3,3,1850,3,350,1100,33,32,33,251,622
"155",1,2015-02-15 03:59:41,2015-02-15 05:28:31,6025,"american",1,2,1650,2,500,1150,53,53,84,446,205
"156",1,2015-02-04 20:10:05,2015-02-04 20:47:34,719,"american",1,3,3564,3,1220,1372,25,29,44,446,275
"157",2,2015-01-23 20:01:05,2015-01-23 20:30:11,2130,"chinese",3,2,2345,2,1050,1295,37,27,42,251,293
"158",5,2015-02-16 01:01:57,2015-02-16 01:52:37,4150,"american",1,4,2556,4,259,1099,19,14,14,446,525
"159",2,2015-02-07 00:47:48,2015-02-07 01:28:14,1311,"american",3,5,1925,3,89,759,54,51,54,251,629
"160",4,2015-01-26 22:15:39,2015-01-26 22:38:35,2336,"japanese",2,2,1150,2,175,975,29,79,18,251,732
"161",2,2015-01-24 02:28:21,2015-01-24 03:29:39,4537,"other",3,6,2894,4,149,1099,133,129,192,251,858
"162",2,2015-01-25 20:31:21,2015-01-25 21:19:20,4801,"pizza",1,2,4300,1,2150,2150,69,76,41,446,862
"163",1,2015-02-08 02:22:54,2015-02-08 03:26:01,3175,"burger",1,9,4700,4,150,1050,48,48,70,446,300
"164",4,2015-01-28 05:34:26,2015-01-28 06:23:13,1082,"vietnamese",2,4,2630,3,500,850,28,17,17,251,770
"165",4,2015-02-16 01:57:39,2015-02-16 02:37:01,6002,"mexican",5,2,965,2,175,790,77,73,131,251,329
"166",2,2015-02-10 21:50:22,2015-02-10 22:30:35,3019,"sandwich",5,2,2582,2,898,999,15,18,24,251,510
"167",3,2015-02-03 02:56:36,2015-02-03 04:20:21,3974,"barbecue",5,2,1990,2,995,995,39,40,69,251,753
"168",4,2015-02-09 02:05:28,2015-02-09 03:03:37,4372,"thai",2,3,2660,3,195,925,89,75,145,251,708
"169",1,2015-02-14 21:53:19,2015-02-14 22:39:44,4204,"burger",1,2,1208,2,339,740,21,18,24,446,591
"170",5,2015-02-08 22:01:24,2015-02-08 22:40:35,2056,"sandwich",2,1,1095,1,1095,1095,47,37,39,251,937
"171",2,2015-01-27 05:08:44,2015-01-27 05:41:13,314,"mexican",5,1,894,1,799,799,34,60,28,251,347
"172",3,2015-02-17 18:17:30,2015-02-17 19:14:49,6411,"fast",5,1,615,1,615,615,4,4,5,251,543
"173",1,2015-02-11 01:59:03,2015-02-11 02:36:28,1969,"american",1,3,5200,3,700,2600,6,5,5,446,130
"174",5,2015-02-06 23:06:55,2015-02-06 23:46:12,4220,"pizza",3,3,2197,3,299,1399,15,13,13,251,550
"175",2,2015-01-30 04:05:31,2015-01-30 04:41:56,4210,"mexican",2,1,795,1,745,745,92,80,123,251,462
"176",1,2015-02-07 23:53:55,2015-02-08 00:21:14,4914,"alcohol",5,1,1995,1,1995,1995,24,18,19,251,702
"177",1,2015-01-24 01:36:23,2015-01-24 02:11:37,69,"chinese",1,1,1595,1,1595,1595,18,17,16,446,439
"178",2,2015-01-25 03:14:03,2015-01-25 04:12:38,3198,"seafood",1,4,1884,2,325,909,109,122,183,446,743
"179",1,2015-02-10 02:54:24,2015-02-10 03:51:43,4731,"sushi",5,7,1930,7,160,295,5,5,11,251,764
"180",3,2015-02-17 01:34:59,2015-02-17 02:12:05,6794,"japanese",2,4,2395,4,175,850,26,25,25,251,859
"181",1,2015-01-31 03:01:57,2015-01-31 03:53:50,4710,"fast",4,4,2388,4,127,869,33,33,32,251,856
"182",4,2015-01-23 02:50:59,2015-01-23 03:30:38,861,"burger",5,3,3187,2,999,1189,69,71,107,251,722
"183",4,2015-02-18 04:36:54,2015-02-18 05:07:16,377,"thai",2,4,3400,3,400,1200,53,43,52,251,441
"184",2,2015-01-28 01:33:55,2015-01-28 02:17:37,193,"vietnamese",5,1,1200,1,950,950,79,78,86,251,800
"185",4,2015-02-08 22:00:24,2015-02-08 22:30:19,6917,"vietnamese",5,2,1215,2,295,795,43,37,42,251,444
"186",2,2015-02-09 05:56:21,2015-02-09 06:25:34,3486,"american",1,1,1479,1,1479,1479,20,21,22,446,618
"187",2,2015-01-26 03:17:44,2015-01-26 04:10:41,2069,"american",3,1,4388,1,4248,4248,57,72,63,251,532
"188",2,2015-02-10 20:18:44,2015-02-10 20:53:16,3747,"other",3,1,1145,1,695,695,42,42,70,251,531
"189",1,2015-02-16 02:38:19,2015-02-16 03:38:24,2318,"indian",3,3,1540,3,150,995,20,20,35,251,238
"190",5,2015-01-29 23:44:19,2015-01-30 00:32:17,4921,"american",1,2,2876,2,599,2277,14,8,8,446,471
"191",4,2015-01-28 20:54:03,2015-01-28 21:36:52,3620,"burger",5,3,2047,3,399,789,80,45,56,251,825
"192",1,2015-02-14 03:21:44,2015-02-14 04:54:53,4898,"dessert",4,6,5895,6,395,1695,62,62,87,251,928
"193",2,2015-01-22 20:28:42,2015-01-22 21:03:48,1706,"cafe",4,3,1255,3,325,395,37,36,47,251,557
"194",2,2015-02-13 19:25:02,2015-02-13 20:16:01,4943,"american",3,3,507,2,79,349,54,41,79,251,661
"195",4,2015-02-14 01:27:14,2015-02-14 02:11:21,2494,"indian",5,3,4385,3,1395,1595,92,85,149,251,280
"196",2,2015-01-30 01:24:15,2015-01-30 02:22:42,464,"pizza",3,7,8675,6,350,1700,40,39,46,251,885
"197",4,2015-02-17 04:04:32,2015-02-17 04:37:57,6685,"japanese",3,5,4492,4,150,2025,61,30,51,251,379
"198",1,2015-02-04 02:33:55,2015-02-04 03:11:51,5034,"american",1,2,2200,2,1075,1125,48,49,54,446,350
"199",1,2015-02-15 15:47:55,2015-02-15 17:16:35,4046,"cafe",4,6,1950,3,245,375,2,2,3,251,602
"200",2,2015-02-05 19:57:45,2015-02-05 20:37:20,389,"american",1,3,2057,3,99,1619,56,55,74,446,328
"201",2,2015-01-28 03:58:29,2015-01-28 05:22:14,5410,"american",1,8,5910,6,325,1595,82,81,108,446,621
"202",4,2015-02-11 02:36:05,2015-02-11 03:08:01,5492,"burmese",2,2,1995,2,800,1195,62,48,74,251,594
"203",2,2015-02-17 05:20:02,2015-02-17 05:49:45,2701,"indian",3,3,1295,2,300,695,24,21,21,251,323
"204",3,2015-02-09 19:57:22,2015-02-09 20:23:01,3609,"fast",4,3,880,3,128,511,0,0,0,251,346
"205",2,2015-02-07 04:37:39,2015-02-07 05:41:19,5410,"american",1,2,2400,2,1125,1150,76,95,151,446,667
"206",3,2015-02-11 00:06:17,2015-02-11 00:40:30,1947,"cafe",4,3,740,3,125,195,13,9,9,251,483
"207",2,2015-01-23 20:18:01,2015-01-23 21:08:51,3732,"burger",5,6,3050,5,275,950,58,61,87,251,750
"208",2,2015-02-16 20:04:03,2015-02-16 21:19:26,915,"dessert",5,4,2580,3,495,795,49,48,77,251,625
"209",4,2015-01-27 20:53:01,2015-01-27 21:38:57,3060,"greek",3,1,1025,1,1025,1025,72,70,82,251,651
"210",4,2015-02-05 23:46:41,2015-02-06 01:00:50,6151,"pizza",3,8,10287,7,499,1429,25,19,18,251,590
"211",1,2015-02-14 19:28:22,2015-02-14 20:02:50,6319,"sandwich",2,3,1447,3,249,649,3,3,3,251,215
"212",3,2015-02-07 02:50:27,2015-02-07 03:35:38,3959,"american",5,2,2620,2,1019,1401,34,35,35,251,679
"213",2,2015-02-08 19:43:09,2015-02-08 20:16:14,3081,"mediterranean",2,2,1649,2,150,1299,20,19,23,251,169
"214",2,2015-02-02 03:09:19,2015-02-02 04:58:37,536,"dessert",2,1,3000,1,3000,3000,71,77,166,251,779
"215",4,2015-01-24 01:31:38,2015-01-24 02:22:02,2056,"chinese",3,3,2791,3,685,1243,117,71,91,251,185
"216",4,2015-01-31 22:48:41,2015-01-31 23:38:28,3388,"greek",5,3,3597,3,499,1699,39,35,35,251,471
"217",3,2015-02-11 03:42:16,2015-02-11 04:28:01,6453,"greek",1,1,799,1,799,799,4,4,4,446,518
"218",2,2015-02-16 21:24:48,2015-02-16 21:50:17,1703,"mexican",5,2,1598,2,699,799,36,36,40,251,357
"219",3,2015-02-18 04:40:40,2015-02-18 05:23:38,3411,"pizza",3,2,3697,2,1389,1429,0,0,0,251,332
"220",3,2015-02-02 21:57:37,2015-02-02 22:47:20,3959,"american",5,1,999,1,869,869,8,8,9,251,887
"221",2,2015-02-06 01:44:26,2015-02-06 02:30:45,3973,"pizza",1,1,1915,1,1915,1915,109,63,76,446,568
